data folder: data/ready/pos/wsj/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 0

1.train    L 0.214     acc 93.00
46.val      L 0.088    acc 96.98

47.train    L 0.069    acc 97.56
47.val      L 0.088    acc 97.05

48.train    L 0.069    acc 97.56
48.val      L 0.088    acc 97.00

49.train    L 0.069    acc 97.58
49.val      L 0.088    acc 97.01

50.train    L 0.069    acc 97.57
50.val      L 0.088    acc 97.01

51.train    L 0.068    acc 97.59
51.val      L 0.088    acc 97.01

52.train    L 0.068    acc 97.61
52.val      L 0.087    acc 97.01

53.train    L 0.068    acc 97.59
53.val      L 0.087    acc 97.02

54.train    L 0.068    acc 97.60
54.val      L 0.088    acc 97.01

55.train    L 0.067    acc 97.63
55.val      L 0.087    acc 97.04

56.train    L 0.067    acc 97.63
56.val      L 0.088    acc 97.06

57.train    L 0.067    acc 97.64
57.val      L 0.088    acc 97.01

58.train    L 0.066    acc 97.66
58.val      L 0.087    acc 97.04

59.train    L 0.066    acc 97.66
59.val      L 0.087    acc 97.01

60.train    L 0.066    acc 97.65
60.val      L 0.088    acc 97.03

61.train    L 0.066    acc 97.67
61.val      L 0.087    acc 97.03

62.train    L 0.065    acc 97.69
62.val      L 0.087    acc 97.03

63.train    L 0.065    acc 97.68
63.val      L 0.087    acc 97.02

64.train    L 0.066    acc 97.66
64.val      L 0.088    acc 97.00

65.train    L 0.065    acc 97.70
65.val      L 0.087    acc 97.05

66.train    L 0.065    acc 97.71
66.val      L 0.087    acc 97.04

67.train    L 0.064    acc 97.71
67.val      L 0.087    acc 97.05

68.train    L 0.065    acc 97.71
68.val      L 0.087    acc 97.05

69.train    L 0.064    acc 97.72
69.val      L 0.087    acc 97.07

70.train    L 0.064    acc 97.73
70.val      L 0.086    acc 97.05

71.train    L 0.064    acc 97.73
71.val      L 0.086    acc 97.08

72.train    L 0.063    acc 97.75
72.val      L 0.086    acc 97.08

73.train    L 0.063    acc 97.75
73.val      L 0.086    acc 97.09

74.train    L 0.063    acc 97.76
74.val      L 0.086    acc 97.08

75.train    L 0.063    acc 97.75
75.val      L 0.087    acc 97.08

76.train    L 0.063    acc 97.76
76.val      L 0.086    acc 97.05

77.train    L 0.063    acc 97.77
77.val      L 0.086    acc 97.06

78.train    L 0.062    acc 97.77
78.val      L 0.087    acc 97.04

79.train    L 0.062    acc 97.78
79.val      L 0.086    acc 97.03

80.train    L 0.062    acc 97.79
80.val      L 0.086    acc 97.06

81.train    L 0.062    acc 97.78
81.val      L 0.086    acc 97.06

82.train    L 0.062    acc 97.79
82.val      L 0.087    acc 97.06

83.train    L 0.062    acc 97.79
83.val      L 0.086    acc 97.07

84.train    L 0.061    acc 97.81
84.val      L 0.086    acc 97.11

85.train    L 0.061    acc 97.81
85.val      L 0.086    acc 97.08

86.train    L 0.061    acc 97.82
86.val      L 0.086    acc 97.08

87.train    L 0.061    acc 97.82
87.val      L 0.086    acc 97.08

88.train    L 0.061    acc 97.81
88.val      L 0.087    acc 97.09

89.train    L 0.061    acc 97.83
89.val      L 0.086    acc 97.10

90.train    L 0.061    acc 97.85
90.val      L 0.086    acc 97.08

91.train    L 0.061    acc 97.83
91.val      L 0.086    acc 97.09

92.train    L 0.060    acc 97.84
92.val      L 0.086    acc 97.09

93.train    L 0.060    acc 97.85
93.val      L 0.086    acc 97.11

94.train    L 0.060    acc 97.85
94.val      L 0.086    acc 97.09

95.train    L 0.060    acc 97.86
95.val      L 0.086    acc 97.11

96.train    L 0.060    acc 97.86
96.val      L 0.086    acc 97.11

97.train    L 0.060    acc 97.85
97.val      L 0.086    acc 97.10

98.train    L 0.060    acc 97.87
98.val      L 0.086    acc 97.10

99.train    L 0.060    acc 97.87
99.val      L 0.086    acc 97.11

100.train    L 0.059   acc 97.88
100.val      L 0.086   acc 97.10


Best epoch: 95
Best metric: 97.11

Confusion matrix:

[[   31     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0  1144     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0   991     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0   181     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0   181     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0  7086     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0  5468     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     3     0     0     0     0   636     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0  3362     0     7     0     1     0     0     0     0     0     0     0     0     0     2     0     0     0     0     7     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0  5199     0     0     0     0    12     0     0     0     0     1     3     0     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     1     0]
 [    0     0     0     0     0     0     0     0     0     0 11169     0     0    28     1     0     0     0     0     8     6     0     0     5     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     7     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0   118     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     1     0     0     0     1     2     0     0     0     0     0     9     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     3     0    17     0     1 13462     4     0     0     0     0     1     2     0     0     0     0     0     0   102     0     0    51     0     0     0     0     0     0     0     0     0     8     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0     0     4  7390     4     0     0     0   270    75     0     6     3     0     1     1    51     0     0     0     0     0     0    12     4    65   205     2     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     6   414     0     0     0     4     2     0     0     0     0     0     0     0    19     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0   251     0     0     1     1     0     0     0     0     0     0     0     0     8     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1293     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0    14     3     0     0     3   401     4     0     0     3 17634   221     0    61     1     0    12     0    17     0     0     1     0     0     0    38     4   102     7    11     1     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     4     8     0     1     5    75     0     0     0     2    43 12858   147    18     0     0     1     0     6     0     0     1     0     1     0     0     0     6     7     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   120   271    21     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     6     0     0     0     0     2     0     0     0     0    16    30    14  7942     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0    32     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     8     0     0     0     1     0     0     0     0     0     0     0     0    53     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1237     0     0     0     0     0     0     0     0     0     0     0     0     0     0     4     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     3     2     0     0     0     1  2373     4     0     0     0     0     0     1     0     1     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1184     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     4     0    15     3     0   105    93     4     1     0     0    23     7     0     2     0     0     0     0  3811    38     0    60     0     0     1     2     0     0     0     2     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     1    66     0     0     0     0     0     0     0     0     0     0     0     3   159     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     8     0     0     0     0     0     0     0     0     0     0     0     0    43     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0    45     3     0     0     0     0     0     1     0     0     0     0     0     0    28     0     0   286     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     4     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  3074     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     1     0     0     2     0     0     0     0     0     1     0     0     4     0     0     1     0     3     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     1    11     1     0     0     0    26     8     0     0     0     0     0     0     2     0     0     0     0     0     0  3396    11     0     7    40     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     1     3     3     0     0     0     0     0     0     0     0     0     0     0     0     0     2  4477     0   118    14     1     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0    14     0     0     0     0   126     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1815     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0    77     0     0     0     0    11     2     0     0     0     0     0     0     0     0     0     0     0     0     0     4   108     0  2622     1     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     1     5     0     0     0     0    15     3     0     0     0     0     0     0     0     0     0     0     0     0     0    34     4     0     2  1422     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     1    39     0     6     0     0     0     0     0     0     0     0     0     1     0     0     0     0  2767     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     4     0     0     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   535     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3   315     0     1     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    16     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   270     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1022]]

Predicted sentence samples:

1. The_DT Arizona_NNP Corporations_NNPS|NNP Commission_NNP authorized_VBD an_DT 11.5_CD %_NN rate_NN increase_NN at_IN Tucson_NNP Electric_NNP Power_NNP Co._NNP ,_, substantially_RB lower_JJR than_IN recommended_VBN last_JJ month_NN by_IN a_DT commission_NN hearing_VBG|NN officer_NN and_CC barely_RB half_PDT the_DT rise_NN sought_VBN by_IN the_DT utility_NN ._.
2. The_DT ruling_NN follows_VBZ a_DT host_NN of_IN problems_NNS at_IN Tucson_NNP Electric_NNP ,_, including_VBG major_JJ write-downs_NNS ,_, a_DT 60_CD %_NN slash_NN in_IN the_DT common_JJ stock_NN dividend_NN and_CC the_DT departure_NN of_IN former_JJ Chairman_NNP Einar_NNP Greve_NNP during_IN a_DT company_NN investigation_NN of_IN his_PRP$ stock_NN sales_NNS ._.
3. The_DT Arizona_NNP regulatory_JJ ruling_NN calls_VBZ for_IN $_$ 42_CD million_CD in_IN added_JJ revenue_NN yearly_RB ,_, compared_VBN with_IN a_DT $_$ 57_CD million_CD boost_NN proposed_VBN by_IN the_DT commission_NN hearing_NN officer_NN ._.
4. The_DT company_NN had_VBD sought_VBN increases_NNS totaling_VBG $_$ 80.3_CD million_CD ,_, or_CC 22_CD %_NN ._.
5. The_DT decision_NN was_VBD announced_VBN after_IN trading_NN ended_VBD ._.
6. Tucson_NNP Electric_NNP closed_VBD at_IN $_$ 20.875_CD a_DT share_NN ,_, down_RB 25_CD cents_NNS ,_, in_IN New_NNP York_NNP Stock_NNP Exchange_NNP composite_JJ trading_NN ._.
7. A_DT Tucson_NNP Electric_NNP spokesman_NN said_VBD the_DT utility_NN was_VBD disappointed_VBN by_IN the_DT commission_NN 's_POS decision_NN and_CC ``_`` concerned_VBN|JJ about_IN the_DT financial_JJ integrity_NN of_IN the_DT company_NN ._.
8. South_JJ Korean_NNP|JJ President_NNP Roh_NNP Tae_NNP Woo_NNP ,_, brushing_VBG aside_JJ|RP suggestions_NNS that_IN the_DT won_NN be_VB revalued_VBN again_RB ,_, said_VBD the_DT currency_NN 's_POS current_JJ level_NN against_IN the_DT dollar_NN is_VBZ ``_`` appropriate_JJ ._. ''_''
9. His_PRP$ comments_NNS ,_, made_VBN in_IN response_NN to_TO reporters_NNS '_POS questions_NNS at_IN the_DT National_NNP Press_NNP Club_NNP here_RB ,_, signaled_VBD that_IN Seoul_NNP is_VBZ resisting_VBG U.S._NNP pressure_NN for_IN a_DT further_JJ|JJR rise_NN in_IN the_DT currency_NN 's_POS value_NN ._.
10. The_DT U.S._NNP wants_VBZ a_DT higher_JJR won_VBN|NN to_TO make_VB South_NNP Korea_NNP 's_POS exports_NNS more_RBR expensive_JJ and_CC help_VB trim_VB Seoul_NNP 's_POS trade_NN surplus_NN ._.
11. Many_JJ South_JJ Korean_JJ business_NN people_NNS want_VBP a_DT devaluation_NN instead_RB ,_, arguing_VBG that_IN the_DT won_NN|VBN 's_POS recent_JJ gains_NNS already_RB have_VBP weakened_VBN the_DT country_NN 's_POS export_NN performance_NN ._.
12. Mr._NNP Roh_NNP also_RB said_VBD South_NNP Korea_NNP is_VBZ taking_VBG steps_NNS that_WDT would_MD free_VB the_DT won_NN to_TO respond_VB to_TO market_NN forces_NNS ._.
13. Seoul_NNP has_VBZ pointed_VBN to_TO its_PRP$ lack_NN of_IN a_DT foreign_JJ exchange_NN market_NN as_IN one_CD reason_NN the_DT won_NN 's_POS value_NN remains_VBZ heavily_RB controlled_VBN ._.
14. Mr._NNP Roh_NNP said_VBD a_DT U.S._NNP demand_NN for_IN the_DT removal_NN of_IN South_JJ Korean_JJ import_NN quotas_NNS on_IN beef_NN will_MD be_VB resolved_VBN ``_`` satisfactorily_RB ''_'' but_CC gave_VBD no_DT hint_NN when_WRB that_DT will_MD happen_VB ._.
15. Speaking_VBG to_TO a_DT joint_JJ meeting_NN of_IN Congress_NNP earlier_RBR ,_, he_PRP said_VBD South_NNP Korea_NNP ca_MD n't_RB move_VB quickly_RB on_IN such_JJ agricultural_JJ trade_NN issues_NNS ``_`` without_IN causing_VBG political_JJ and_CC social_JJ trauma_NN ._.
16. Great_NNP American_NNP Bank_NNP said_VBD its_PRP$ board_NN approved_VBD the_DT formation_NN of_IN a_DT holding_VBG|NN company_NN enabling_VBG the_DT savings_NNS bank_NN to_TO pursue_VB nontraditional_JJ banking_NN activities_NNS under_IN a_DT new_JJ federal_JJ law_NN ._.
17. The_DT proposed_VBN|JJ holding_NN company_NN 's_POS primary_JJ purpose_NN would_MD be_VB to_TO allow_VB Great_NNP American_NNP to_TO continue_VB engaging_VBG|JJ in_IN real_JJ estate_NN development_NN activities_NNS ,_, it_PRP said_VBD ._.
18. Those_DT activities_NNS generated_VBD $_$ 26.1_CD million_CD in_IN operating_VBG|NN profit_NN last_JJ year_NN ._.
19. But_CC according_VBG to_TO Great_JJ|NNP American_JJ|NNP ,_, such_JJ profits_NNS do_VBP n't_RB count_VB toward_IN meeting_VBG the_DT San_NNP Diego_NNP savings_NNS bank_NN 's_POS new_JJ capitalization_NN requirements_NNS under_IN 1989_CD federal_JJ law_NN ._.
20. The_DT new_JJ real_JJ estate_NN unit_NN would_MD have_VB a_DT separate_JJ capital_NN structure_NN to_TO comply_VB with_IN the_DT law_NN ._.
21. The_DT proposed_VBN|JJ holding_NN company_NN would_MD also_RB consolidate_VB Great_NNP American_NNP Bank_NNP in_IN San_NNP Diego_NNP and_CC its_PRP$ Tucson_NNP ,_, Ariz._NNP ,_, savings_NNS bank_NN into_IN a_DT single_JJ ,_, federally_RB chartered_VBN|JJ institution_NN in_IN San_NNP Diego_NNP ._.
22. The_DT consolidation_NN is_VBZ expected_VBN to_TO save_VB $_$ 1_CD million_CD a_DT year_NN in_IN administrative_JJ costs_NNS ,_, a_DT Great_JJ|NNP American_JJ|NNP spokesman_NN said_VBD ._.
23. Dale_NNP Lang_NNP ,_, who_WP this_DT week_NN completed_VBD the_DT acquisition_NN of_IN the_DT publisher_NN of_IN Ms._NNP and_CC Sassy_NNP ,_, is_VBZ candid_JJ about_IN the_DT challenge_NN he_PRP is_VBZ taking_VBG on_RP ._.
24. Mr._NNP Lang_NNP admits_VBZ that_IN|DT Ms._NNP is_VBZ ``_`` in_IN dire_JJ straits_NNS ''_'' and_CC that_IN Sassy_NNP needs_VBZ big_JJ promotional_JJ dollars_NNS to_TO keep_VB it_PRP alive_JJ ._.
25. But_CC the_DT 57-year-old_JJ publisher_NN has_VBZ moved_VBN quickly_RB and_CC boldly_RB to_TO deal_VB with_IN the_DT magazines_NNS '_POS problems_NNS ._.
26. Last_JJ Friday_NNP ,_, he_PRP told_VBD the_DT staff_NN of_IN Ms._NNP that_IN the_DT magazine_NN in_IN January_NNP would_MD begin_VB publishing_VBG without_IN advertising_NN ._.
27. Mr._NNP Lang_NNP will_MD do_VB away_RB|RP with_IN expensive_JJ circulation_NN drives_NNS|VBZ ,_, not_RB to_TO mention_VB sales_NNS staff_NN ,_, and_CC attempt_VB to_TO publish_VB the_DT 17-year-old_JJ magazine_NN supported_VBN by_IN circulation_NN revenue_NN alone_RB ._.
28. ``_`` Any_DT fool_NN can_MD publish_VB a_DT money-losing_JJ magazine_NN ._.
29. I_PRP want_VBP to_TO publish_VB one_CD|NN that_WDT succeeds_VBZ ,_, ''_'' said_VBD Mr._NNP Lang_NNP ._.
30. ``_`` For_IN Ms._NNP ,_, it_PRP 's_VBZ time_NN to_TO publish_VB for_IN the_DT reader_NN ,_, not_RB the_DT advertiser_NN ._. ''_''
31. As_IN for_IN Sassy_NNP ,_, which_WDT competes_VBZ directly_RB with_IN News_NNP Corp._NNP 's_POS Seventeen_NNP magazine_NN ,_, Mr._NNP Lang_NNP says_VBZ that_IN in_IN the_DT next_JJ two_CD years_NNS he_PRP will_MD spend_VB $_$ 6_CD million_CD promoting_VBG and_CC improving_VBG the_DT magazine_NN ._.
32. Though_IN|NNP Sassy_NNP has_VBZ grown_VBN quickly_RB since_IN its_PRP$ debut_NN in_IN March_NNP 1988_CD ,_, it_PRP has_VBZ been_VBN the_DT target_NN of_IN conservative_JJ lobbyists_NNS and_CC skittish_JJ advertisers_NNS who_WP bristled_VBD at_IN its_PRP$ frank_JJ editorial_NN|JJ matter_NN on_IN teen-age_JJ problems_NNS ._.
33. Mr._NNP Lang_NNP said_VBD the_DT former_JJ Australian_JJ owners_NNS of_IN Sassy_NNP were_VBD ``_`` blind-sided_JJ by_IN the_DT Moral_NNP Majority_NNP ..._: ._.
34. Their_PRP$ reaction_NN was_VBD to_TO do_VB nothing_NN and_CC ride_VB it_PRP out_RP ._. ''_''
35. He_PRP said_VBD Sassy_NNP will_MD keep_VB its_PRP$ irreverent_JJ tone_NN ,_, but_CC added_VBD ,_, ``_`` We_PRP will_MD keep_VB a_DT close_JJ watch_NN on_IN the_DT editorial_JJ content_NN of_IN the_DT magazine_NN ._. ''_''
36. Sassy_NNP already_RB has_VBZ recovered_VBN ;_: circulation_NN has_VBZ quickly_RB passed_VBN the_DT 500,000_CD mark_NN and_CC advertising_NN pages_NNS have_VBP stabilized_VBN this_DT year_NN at_IN more_JJR than_IN 300_CD ._.
37. What_WP 's_VBZ more_JJR ,_, Mr._NNP Lang_NNP says_VBZ he_PRP has_VBZ what_WP all_DT publishers_NNS wish_VBP for_IN :_: a_DT bona_NN|JJ fide_NN|JJ niche_NN ._.
38. ``_`` Seventeen_NNP is_VBZ written_VBN more_JJR|RBR for_IN mothers_NNS ,_, not_RB their_PRP$ daughters_NNS ,_, ''_'' said_VBD Mr._NNP Lang_NNP ._.
39. ``_`` But_CC Sassy_NNP has_VBZ a_DT different_JJ spirit_NN ._.
40. It_PRP gets_VBZ more_JJR mail_NN in_IN a_DT month_NN than_IN McCall_NNP 's_POS got_VBN|VBD in_IN a_DT year_NN ,_, and_CC it_PRP 's_VBZ not_RB from_IN mothers_NNS ._.
41. I_PRP feel_VBP about_IN Sassy_NNP like_IN I_PRP did_VBD about_IN Working_NNP Woman_NNP 10_CD years_NNS ago_RB ._. ''_''
42. Mr._NNP Lang_NNP took_VBD on_IN|RP Ms._NNP and_CC Sassy_NNP with_IN the_DT acquisition_NN of_IN Matilda_NNP Publications_NNPS|NNP Inc._NNP by_IN his_PRP$ newly_RB formed_VBN Lang_NNP Communications_NNPS|NNP ._.
43. Lang_NNP owns_VBZ 70_CD %_NN of_IN Matilda_NNP ,_, while_IN Citicorp_NNP owns_VBZ the_DT rest_NN through_IN its_PRP$ Citicorp_NNP Venture_NNP Capital_NNP Partners_NNPS|NNP ._.
44. Two_CD weeks_NNS ago_RB ,_, Citicorp_NNP and_CC Mr._NNP Lang_NNP pumped_VBD $_$ 800,000_CD into_IN Matilda_NNP just_RB to_TO keep_VB the_DT doors_NNS open_JJ ._.
45. Industry_NN observers_NNS have_VBP congratulated_VBN Mr._NNP Lang_NNP on_IN what_WP some_DT call_VBP|VB his_PRP$ ``_`` courageous_JJ ''_'' handling_NN of_IN Ms._NNP ,_, but_CC his_PRP$ track_NN record_NN in_IN magazine_NN publishing_NN in_IN general_NN|JJ has_VBZ gotten_VBN mixed_VBN|JJ reviews_NNS ._.
46. Besides_IN Ms._NNP and_CC Sassy_NNP ,_, closely_RB held_VBN Lang_NNP Communications_NNPS|NNP includes_VBZ Success_NNP ,_, a_DT magazine_NN for_IN entrepreneurs_NNS and_CC small_JJ businesses_NNS ,_, and_CC Working_NNP Woman_NNP and_CC Working_NNP Mother_NNP ,_, two_CD monthly_JJ magazines_NNS ._.
