data folder: data/ready/nerc/conll2012/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 0

1.train    L 0.228     acc [B 63.79 E 63.31 O 98.55 T 93.72]   B [P 84.13 R 83.80 F1 83.97]   E [P 69.68 R 76.65 F1 73.00]   EC [P 55.25 R 60.77 F1 57.88]
7.val      L 0.157     acc [B 76.59 E 76.90 O 98.74 T 95.78]   B [P 88.43 R 88.98 F1 88.71]   E [P 78.04 R 84.52 F1 81.15]   EC [P 68.76 R 74.47 F1 71.50]

8.train    L 0.130     acc [B 80.05 E 80.91 O 98.79 T 96.34]   B [P 89.87 R 90.19 F1 90.03]   E [P 80.66 R 86.40 F1 83.43]   EC [P 72.86 R 78.05 F1 75.37]
8.val      L 0.155     acc [B 76.68 E 77.21 O 98.77 T 95.85]   B [P 89.06 R 88.75 F1 88.90]   E [P 78.99 R 84.77 F1 81.78]   EC [P 69.65 R 74.75 F1 72.11]

9.train    L 0.125     acc [B 81.37 E 81.97 O 98.82 T 96.51]   B [P 89.90 R 90.89 F1 90.39]   E [P 80.74 R 87.08 F1 83.79]   EC [P 73.47 R 79.24 F1 76.24]
9.val      L 0.152     acc [B 77.34 E 77.67 O 98.76 T 95.90]   B [P 88.76 R 89.34 F1 89.05]   E [P 78.74 R 85.12 F1 81.80]   EC [P 69.70 R 75.35 F1 72.42]

10.train    L 0.123    acc [B 82.24 E 82.42 O 98.85 T 96.60]   B [P 89.71 R 91.53 F1 90.61]   E [P 81.33 R 87.61 F1 84.36]   EC [P 74.29 R 80.02 F1 77.05]
10.val      L 0.152    acc [B 78.09 E 77.94 O 98.79 T 95.97]   B [P 88.52 R 89.86 F1 89.18]   E [P 79.21 R 85.50 F1 82.23]   EC [P 70.19 R 75.76 F1 72.87]

11.train    L 0.118    acc [B 82.30 E 82.80 O 98.90 T 96.69]   B [P 90.08 R 91.32 F1 90.70]   E [P 81.86 R 87.74 F1 84.70]   EC [P 74.96 R 80.34 F1 77.56]
11.val      L 0.148    acc [B 78.32 E 78.46 O 98.83 T 96.07]   B [P 88.95 R 89.77 F1 89.36]   E [P 79.75 R 85.61 F1 82.58]   EC [P 71.02 R 76.24 F1 73.54]

12.train    L 0.116    acc [B 82.52 E 82.88 O 98.96 T 96.75]   B [P 90.54 R 91.41 F1 90.98]   E [P 82.22 R 87.80 F1 84.92]   EC [P 75.47 R 80.59 F1 77.95]
12.val      L 0.147    acc [B 78.01 E 78.18 O 98.90 T 96.09]   B [P 89.35 R 89.65 F1 89.50]   E [P 80.01 R 85.60 F1 82.71]   EC [P 71.21 R 76.18 F1 73.61]

13.train    L 0.114    acc [B 82.95 E 83.20 O 98.97 T 96.81]   B [P 90.55 R 91.68 F1 91.11]   E [P 82.23 R 88.00 F1 85.02]   EC [P 75.63 R 80.93 F1 78.19]
13.val      L 0.148    acc [B 78.27 E 78.09 O 98.89 T 96.07]   B [P 89.26 R 90.06 F1 89.66]   E [P 79.55 R 85.60 F1 82.47]   EC [P 70.80 R 76.19 F1 73.40]

14.train    L 0.110    acc [B 83.37 E 83.85 O 98.99 T 96.92]   B [P 90.99 R 91.58 F1 91.28]   E [P 83.45 R 88.27 F1 85.79]   EC [P 77.03 R 81.48 F1 79.19]
14.val      L 0.144    acc [B 78.74 E 79.11 O 98.92 T 96.23]   B [P 89.63 R 89.62 F1 89.62]   E [P 81.09 R 85.60 F1 83.28]   EC [P 72.55 R 76.58 F1 74.51]

15.train    L 0.110    acc [B 83.96 E 84.10 O 98.98 T 96.93]   B [P 90.41 R 92.39 F1 91.39]   E [P 82.49 R 88.84 F1 85.55]   EC [P 76.16 R 82.02 F1 78.98]
15.val      L 0.145    acc [B 79.53 E 79.14 O 98.87 T 96.19]   B [P 88.71 R 90.89 F1 89.79]   E [P 79.41 R 86.26 F1 82.70]   EC [P 71.08 R 77.21 F1 74.02]

16.train    L 0.107    acc [B 83.96 E 84.32 O 99.04 T 97.02]   B [P 91.00 R 91.87 F1 91.43]   E [P 83.26 R 88.60 F1 85.85]   EC [P 77.20 R 82.15 F1 79.60]
16.val      L 0.142    acc [B 79.03 E 78.99 O 98.94 T 96.24]   B [P 89.50 R 89.79 F1 89.64]   E [P 80.35 R 85.68 F1 82.93]   EC [P 72.14 R 76.92 F1 74.45]

17.train    L 0.105    acc [B 84.33 E 84.84 O 99.01 T 97.07]   B [P 91.07 R 92.00 F1 91.53]   E [P 83.36 R 88.77 F1 85.98]   EC [P 77.48 R 82.51 F1 79.92]
17.val      L 0.142    acc [B 79.27 E 79.33 O 98.92 T 96.26]   B [P 89.66 R 90.09 F1 89.87]   E [P 80.16 R 85.78 F1 82.87]   EC [P 72.04 R 77.09 F1 74.48]

18.train    L 0.105    acc [B 84.73 E 85.18 O 98.96 T 97.07]   B [P 90.79 R 92.44 F1 91.61]   E [P 83.39 R 89.07 F1 86.13]   EC [P 77.56 R 82.85 F1 80.12]
18.val      L 0.142    acc [B 80.04 E 79.93 O 98.87 T 96.30]   B [P 89.23 R 90.71 F1 89.96]   E [P 80.80 R 86.73 F1 83.66]   EC [P 72.54 R 77.86 F1 75.10]

19.train    L 0.103    acc [B 84.82 E 85.30 O 99.01 T 97.13]   B [P 91.13 R 92.44 F1 91.78]   E [P 83.88 R 89.26 F1 86.49]   EC [P 78.00 R 83.00 F1 80.42]
19.val      L 0.142    acc [B 79.96 E 79.71 O 98.89 T 96.29]   B [P 89.50 R 90.54 F1 90.02]   E [P 80.76 R 86.47 F1 83.52]   EC [P 72.69 R 77.82 F1 75.17]

20.train    L 0.101    acc [B 84.79 E 85.36 O 99.08 T 97.19]   B [P 91.50 R 92.05 F1 91.78]   E [P 84.07 R 88.96 F1 86.45]   EC [P 78.50 R 83.07 F1 80.72]
20.val      L 0.140    acc [B 79.80 E 79.72 O 98.97 T 96.36]   B [P 89.96 R 90.10 F1 90.03]   E [P 80.96 R 86.08 F1 83.44]   EC [P 73.13 R 77.75 F1 75.37]

21.train    L 0.100    acc [B 85.11 E 85.87 O 99.01 T 97.21]   B [P 91.39 R 92.40 F1 91.89]   E [P 84.12 R 89.38 F1 86.67]   EC [P 78.53 R 83.44 F1 80.91]
21.val      L 0.140    acc [B 79.95 E 80.08 O 98.91 T 96.36]   B [P 89.92 R 90.73 F1 90.32]   E [P 81.23 R 86.71 F1 83.88]   EC [P 73.02 R 77.94 F1 75.40]

22.train    L 0.099    acc [B 85.30 E 85.89 O 99.03 T 97.22]   B [P 91.39 R 92.49 F1 91.93]   E [P 84.23 R 89.44 F1 86.75]   EC [P 78.72 R 83.59 F1 81.08]
22.val      L 0.140    acc [B 80.54 E 80.52 O 98.92 T 96.43]   B [P 89.80 R 90.82 F1 90.30]   E [P 81.21 R 86.84 F1 83.93]   EC [P 73.30 R 78.38 F1 75.76]

23.train    L 0.096    acc [B 85.48 E 86.24 O 99.07 T 97.31]   B [P 91.60 R 92.46 F1 92.03]   E [P 84.39 R 89.48 F1 86.86]   EC [P 79.02 R 83.78 F1 81.33]
23.val      L 0.138    acc [B 80.21 E 80.30 O 98.94 T 96.41]   B [P 90.12 R 90.50 F1 90.31]   E [P 81.12 R 86.58 F1 83.76]   EC [P 73.23 R 78.16 F1 75.61]

24.train    L 0.096    acc [B 85.80 E 86.48 O 99.04 T 97.32]   B [P 91.55 R 92.63 F1 92.09]   E [P 84.54 R 89.55 F1 86.97]   EC [P 79.31 R 84.00 F1 81.59]
24.val      L 0.138    acc [B 80.46 E 80.49 O 98.93 T 96.43]   B [P 90.00 R 90.57 F1 90.28]   E [P 81.30 R 86.46 F1 83.80]   EC [P 73.65 R 78.33 F1 75.92]

25.train    L 0.096    acc [B 85.98 E 86.50 O 99.05 T 97.33]   B [P 91.49 R 92.81 F1 92.15]   E [P 84.61 R 89.75 F1 87.11]   EC [P 79.33 R 84.16 F1 81.67]
25.val      L 0.139    acc [B 80.66 E 80.49 O 98.93 T 96.43]   B [P 89.89 R 90.76 F1 90.32]   E [P 81.16 R 86.63 F1 83.81]   EC [P 73.48 R 78.44 F1 75.88]

26.train    L 0.095    acc [B 85.93 E 86.54 O 99.06 T 97.34]   B [P 91.35 R 92.98 F1 92.16]   E [P 84.17 R 89.76 F1 86.88]   EC [P 78.89 R 84.13 F1 81.43]
26.val      L 0.138    acc [B 80.60 E 80.45 O 98.91 T 96.41]   B [P 89.55 R 90.89 F1 90.21]   E [P 80.95 R 86.88 F1 83.81]   EC [P 73.16 R 78.52 F1 75.74]

27.train    L 0.093    acc [B 86.30 E 87.15 O 99.01 T 97.38]   B [P 91.50 R 92.97 F1 92.23]   E [P 84.49 R 89.97 F1 87.15]   EC [P 79.43 R 84.58 F1 81.93]
27.val      L 0.137    acc [B 80.88 E 80.95 O 98.84 T 96.42]   B [P 89.64 R 90.82 F1 90.22]   E [P 80.63 R 86.60 F1 83.51]   EC [P 73.19 R 78.61 F1 75.80]

28.train    L 0.092    acc [B 86.35 E 86.98 O 99.13 T 97.46]   B [P 91.93 R 92.85 F1 92.38]   E [P 85.06 R 89.93 F1 87.43]   EC [P 80.10 R 84.68 F1 82.33]
28.val      L 0.138    acc [B 81.00 E 80.74 O 98.98 T 96.51]   B [P 90.01 R 90.53 F1 90.27]   E [P 81.69 R 86.71 F1 84.13]   EC [P 74.35 R 78.91 F1 76.56]

29.train    L 0.090    acc [B 86.46 E 87.27 O 99.11 T 97.49]   B [P 91.96 R 92.92 F1 92.44]   E [P 85.07 R 90.04 F1 87.48]   EC [P 80.14 R 84.82 F1 82.42]
29.val      L 0.136    acc [B 81.04 E 80.85 O 98.95 T 96.49]   B [P 90.00 R 90.78 F1 90.39]   E [P 81.55 R 86.87 F1 84.13]   EC [P 74.19 R 79.03 F1 76.54]

30.train    L 0.090    acc [B 86.60 E 87.18 O 99.15 T 97.50]   B [P 91.91 R 92.93 F1 92.41]   E [P 84.95 R 89.98 F1 87.39]   EC [P 80.15 R 84.90 F1 82.46]
30.val      L 0.136    acc [B 81.15 E 80.79 O 98.99 T 96.53]   B [P 89.99 R 90.75 F1 90.37]   E [P 81.26 R 86.73 F1 83.91]   EC [P 74.07 R 79.06 F1 76.48]

31.train    L 0.090    acc [B 86.64 E 87.57 O 99.08 T 97.50]   B [P 91.93 R 93.03 F1 92.47]   E [P 85.05 R 90.08 F1 87.49]   EC [P 80.19 R 84.94 F1 82.50]
31.val      L 0.137    acc [B 80.80 E 80.95 O 98.93 T 96.49]   B [P 90.18 R 90.66 F1 90.42]   E [P 81.38 R 86.72 F1 83.97]   EC [P 74.04 R 78.89 F1 76.39]

32.train    L 0.089    acc [B 86.80 E 87.65 O 99.08 T 97.51]   B [P 91.85 R 93.04 F1 92.44]   E [P 85.18 R 90.21 F1 87.62]   EC [P 80.44 R 85.20 F1 82.75]
32.val      L 0.136    acc [B 81.33 E 81.20 O 98.92 T 96.51]   B [P 89.83 R 90.87 F1 90.35]   E [P 81.62 R 86.94 F1 84.20]   EC [P 74.29 R 79.13 F1 76.63]

33.train    L 0.089    acc [B 86.79 E 87.55 O 99.09 T 97.51]   B [P 91.96 R 93.16 F1 92.56]   E [P 85.30 R 90.33 F1 87.74]   EC [P 80.41 R 85.16 F1 82.72]
33.val      L 0.138    acc [B 81.09 E 81.09 O 98.92 T 96.50]   B [P 89.91 R 90.82 F1 90.36]   E [P 81.72 R 87.11 F1 84.33]   EC [P 74.24 R 79.13 F1 76.61]

34.train    L 0.086    acc [B 86.75 E 87.58 O 99.19 T 97.60]   B [P 92.54 R 92.74 F1 92.64]   E [P 85.88 R 90.08 F1 87.93]   EC [P 81.25 R 85.23 F1 83.19]
34.val      L 0.135    acc [B 80.79 E 80.75 O 99.04 T 96.56]   B [P 90.59 R 90.17 F1 90.38]   E [P 82.18 R 86.63 F1 84.35]   EC [P 74.89 R 78.94 F1 76.86]

35.train    L 0.087    acc [B 87.10 E 87.93 O 99.10 T 97.57]   B [P 92.05 R 93.24 F1 92.64]   E [P 85.52 R 90.42 F1 87.91]   EC [P 80.82 R 85.45 F1 83.07]
35.val      L 0.137    acc [B 81.14 E 81.08 O 98.94 T 96.52]   B [P 90.10 R 90.82 F1 90.46]   E [P 81.62 R 86.92 F1 84.19]   EC [P 74.15 R 78.96 F1 76.48]

36.train    L 0.085    acc [B 87.42 E 88.26 O 99.10 T 97.61]   B [P 92.02 R 93.44 F1 92.73]   E [P 85.58 R 90.56 F1 88.00]   EC [P 81.00 R 85.72 F1 83.29]
36.val      L 0.136    acc [B 81.52 E 81.36 O 98.92 T 96.54]   B [P 89.89 R 91.08 F1 90.48]   E [P 81.47 R 87.15 F1 84.22]   EC [P 74.23 R 79.41 F1 76.73]

37.train    L 0.085    acc [B 87.19 E 88.22 O 99.11 T 97.61]   B [P 92.21 R 93.22 F1 92.71]   E [P 85.76 R 90.56 F1 88.09]   EC [P 81.09 R 85.63 F1 83.30]
37.val      L 0.135    acc [B 81.46 E 81.49 O 98.92 T 96.56]   B [P 90.14 R 90.87 F1 90.50]   E [P 81.80 R 87.15 F1 84.39]   EC [P 74.60 R 79.48 F1 76.96]

38.train    L 0.084    acc [B 87.48 E 88.28 O 99.12 T 97.63]   B [P 92.01 R 93.40 F1 92.70]   E [P 85.81 R 90.63 F1 88.15]   EC [P 81.24 R 85.81 F1 83.46]
38.val      L 0.135    acc [B 81.72 E 81.48 O 98.94 T 96.57]   B [P 89.91 R 91.10 F1 90.50]   E [P 81.93 R 87.40 F1 84.58]   EC [P 74.70 R 79.69 F1 77.11]

39.train    L 0.083    acc [B 87.41 E 88.25 O 99.17 T 97.67]   B [P 92.46 R 93.27 F1 92.86]   E [P 86.31 R 90.66 F1 88.43]   EC [P 81.73 R 85.86 F1 83.75]
39.val      L 0.136    acc [B 81.34 E 81.32 O 98.97 T 96.58]   B [P 90.17 R 90.61 F1 90.39]   E [P 82.28 R 87.11 F1 84.63]   EC [P 75.05 R 79.46 F1 77.19]

40.train    L 0.083    acc [B 87.42 E 88.52 O 99.15 T 97.69]   B [P 92.52 R 93.17 F1 92.84]   E [P 86.28 R 90.65 F1 88.41]   EC [P 81.84 R 85.99 F1 83.86]
40.val      L 0.135    acc [B 81.18 E 81.34 O 98.95 T 96.56]   B [P 90.19 R 90.49 F1 90.34]   E [P 82.01 R 86.88 F1 84.37]   EC [P 74.84 R 79.29 F1 77.00]

41.train    L 0.083    acc [B 87.59 E 88.57 O 99.14 T 97.69]   B [P 92.34 R 93.36 F1 92.85]   E [P 86.09 R 90.69 F1 88.33]   EC [P 81.67 R 86.04 F1 83.80]
41.val      L 0.134    acc [B 81.29 E 81.51 O 98.95 T 96.58]   B [P 90.00 R 90.62 F1 90.31]   E [P 82.07 R 87.09 F1 84.50]   EC [P 74.84 R 79.41 F1 77.06]

42.train    L 0.082    acc [B 87.85 E 88.88 O 99.12 T 97.71]   B [P 92.27 R 93.60 F1 92.93]   E [P 86.24 R 90.98 F1 88.55]   EC [P 81.80 R 86.29 F1 83.99]
42.val      L 0.135    acc [B 81.27 E 81.57 O 98.92 T 96.57]   B [P 89.92 R 90.82 F1 90.37]   E [P 81.64 R 86.93 F1 84.20]   EC [P 74.46 R 79.29 F1 76.80]

43.train    L 0.081    acc [B 87.80 E 88.87 O 99.15 T 97.74]   B [P 92.53 R 93.42 F1 92.97]   E [P 86.32 R 90.84 F1 88.52]   EC [P 81.97 R 86.27 F1 84.06]
43.val      L 0.133    acc [B 81.28 E 81.40 O 98.95 T 96.57]   B [P 90.18 R 90.67 F1 90.42]   E [P 81.98 R 86.92 F1 84.38]   EC [P 74.79 R 79.30 F1 76.98]

44.train    L 0.081    acc [B 87.67 E 89.00 O 99.13 T 97.74]   B [P 92.73 R 93.10 F1 92.91]   E [P 86.70 R 90.64 F1 88.63]   EC [P 82.44 R 86.19 F1 84.27]
44.val      L 0.133    acc [B 81.00 E 81.57 O 98.93 T 96.57]   B [P 90.52 R 90.22 F1 90.37]   E [P 82.38 R 86.63 F1 84.45]   EC [P 75.13 R 79.02 F1 77.03]

45.train    L 0.080    acc [B 88.05 E 89.24 O 99.13 T 97.78]   B [P 92.51 R 93.50 F1 93.00]   E [P 86.54 R 91.04 F1 88.74]   EC [P 82.29 R 86.57 F1 84.37]
45.val      L 0.133    acc [B 81.57 E 81.78 O 98.93 T 96.61]   B [P 90.19 R 90.84 F1 90.51]   E [P 81.98 R 87.01 F1 84.42]   EC [P 74.90 R 79.50 F1 77.13]

46.train    L 0.080    acc [B 88.20 E 89.23 O 99.15 T 97.79]   B [P 92.53 R 93.69 F1 93.11]   E [P 86.56 R 91.08 F1 88.76]   EC [P 82.33 R 86.62 F1 84.42]
46.val      L 0.135    acc [B 81.69 E 81.72 O 98.93 T 96.60]   B [P 90.17 R 90.94 F1 90.55]   E [P 82.18 R 87.08 F1 84.56]   EC [P 75.08 R 79.56 F1 77.26]

47.train    L 0.079    acc [B 88.18 E 89.41 O 99.12 T 97.79]   B [P 92.41 R 93.64 F1 93.02]   E [P 86.60 R 91.20 F1 88.84]   EC [P 82.41 R 86.78 F1 84.54]
47.val      L 0.134    acc [B 81.79 E 81.95 O 98.90 T 96.61]   B [P 90.22 R 91.15 F1 90.68]   E [P 82.08 R 87.45 F1 84.68]   EC [P 74.95 R 79.86 F1 77.33]

48.train    L 0.078    acc [B 88.29 E 89.43 O 99.16 T 97.82]   B [P 92.50 R 93.69 F1 93.09]   E [P 86.64 R 91.12 F1 88.82]   EC [P 82.48 R 86.75 F1 84.56]
48.val      L 0.133    acc [B 81.74 E 81.72 O 98.92 T 96.59]   B [P 89.92 R 91.00 F1 90.46]   E [P 81.65 R 87.03 F1 84.26]   EC [P 74.67 R 79.59 F1 77.05]

49.train    L 0.078    acc [B 88.13 E 89.25 O 99.19 T 97.82]   B [P 92.72 R 93.58 F1 93.15]   E [P 86.93 R 91.08 F1 88.96]   EC [P 82.73 R 86.68 F1 84.66]
49.val      L 0.133    acc [B 81.60 E 81.69 O 98.99 T 96.64]   B [P 90.31 R 90.88 F1 90.60]   E [P 82.46 R 87.16 F1 84.75]   EC [P 75.35 R 79.64 F1 77.44]

50.train    L 0.077    acc [B 88.37 E 89.55 O 99.18 T 97.86]   B [P 92.70 R 93.66 F1 93.18]   E [P 86.89 R 91.21 F1 89.00]   EC [P 82.81 R 86.93 F1 84.82]
50.val      L 0.132    acc [B 81.76 E 81.84 O 98.96 T 96.64]   B [P 90.19 R 90.83 F1 90.51]   E [P 82.20 R 87.10 F1 84.58]   EC [P 75.38 R 79.87 F1 77.56]

51.train    L 0.077    acc [B 88.40 E 89.51 O 99.19 T 97.87]   B [P 92.73 R 93.66 F1 93.19]   E [P 86.98 R 91.21 F1 89.05]   EC [P 82.89 R 86.92 F1 84.86]
51.val      L 0.133    acc [B 81.80 E 81.67 O 98.97 T 96.62]   B [P 90.30 R 90.81 F1 90.56]   E [P 82.05 R 87.04 F1 84.47]   EC [P 75.12 R 79.69 F1 77.33]

52.train    L 0.077    acc [B 88.46 E 89.69 O 99.15 T 97.85]   B [P 92.57 R 93.80 F1 93.18]   E [P 86.82 R 91.45 F1 89.07]   EC [P 82.69 R 87.09 F1 84.84]
52.val      L 0.133    acc [B 81.86 E 81.93 O 98.94 T 96.63]   B [P 90.14 R 91.13 F1 90.63]   E [P 82.28 R 87.50 F1 84.81]   EC [P 75.11 R 79.88 F1 77.43]

53.train    L 0.076    acc [B 88.61 E 89.75 O 99.16 T 97.87]   B [P 92.60 R 93.90 F1 93.25]   E [P 86.92 R 91.50 F1 89.15]   EC [P 82.83 R 87.19 F1 84.95]
53.val      L 0.133    acc [B 82.03 E 81.96 O 98.93 T 96.63]   B [P 90.12 R 91.20 F1 90.66]   E [P 82.34 R 87.49 F1 84.84]   EC [P 75.26 R 79.97 F1 77.54]

54.train    L 0.076    acc [B 88.60 E 89.89 O 99.14 T 97.87]   B [P 92.61 R 93.77 F1 93.19]   E [P 86.91 R 91.37 F1 89.09]   EC [P 82.86 R 87.12 F1 84.94]
54.val      L 0.134    acc [B 81.96 E 82.00 O 98.89 T 96.60]   B [P 90.07 R 90.92 F1 90.49]   E [P 81.96 R 87.01 F1 84.41]   EC [P 75.17 R 79.79 F1 77.41]

55.train    L 0.075    acc [B 88.80 E 89.93 O 99.15 T 97.89]   B [P 92.50 R 94.07 F1 93.28]   E [P 86.94 R 91.61 F1 89.22]   EC [P 82.86 R 87.31 F1 85.03]
55.val      L 0.133    acc [B 82.38 E 82.07 O 98.92 T 96.64]   B [P 89.92 R 91.33 F1 90.62]   E [P 81.91 R 87.41 F1 84.57]   EC [P 75.10 R 80.15 F1 77.54]

56.train    L 0.075    acc [B 88.58 E 89.74 O 99.21 T 97.91]   B [P 92.93 R 93.72 F1 93.32]   E [P 87.36 R 91.38 F1 89.33]   EC [P 83.35 R 87.19 F1 85.23]
56.val      L 0.134    acc [B 82.04 E 81.91 O 98.99 T 96.67]   B [P 90.39 R 90.83 F1 90.61]   E [P 82.31 R 87.05 F1 84.61]   EC [P 75.59 R 79.95 F1 77.71]

57.train    L 0.075    acc [B 88.54 E 89.83 O 99.17 T 97.89]   B [P 92.84 R 93.75 F1 93.29]   E [P 87.38 R 91.51 F1 89.40]   EC [P 83.30 R 87.24 F1 85.22]
57.val      L 0.135    acc [B 82.03 E 82.02 O 98.94 T 96.65]   B [P 90.37 R 90.87 F1 90.62]   E [P 82.31 R 87.17 F1 84.67]   EC [P 75.55 R 80.01 F1 77.72]

58.train    L 0.075    acc [B 88.99 E 90.14 O 99.15 T 97.91]   B [P 92.58 R 94.06 F1 93.31]   E [P 87.12 R 91.64 F1 89.32]   EC [P 83.20 R 87.52 F1 85.30]
58.val      L 0.134    acc [B 82.24 E 82.07 O 98.92 T 96.64]   B [P 90.10 R 91.21 F1 90.65]   E [P 81.81 R 87.29 F1 84.46]   EC [P 75.04 R 80.07 F1 77.47]

59.train    L 0.074    acc [B 88.82 E 90.13 O 99.17 T 97.93]   B [P 92.79 R 93.88 F1 93.33]   E [P 87.21 R 91.51 F1 89.31]   EC [P 83.37 R 87.48 F1 85.37]
59.val      L 0.133    acc [B 82.12 E 82.14 O 98.93 T 96.66]   B [P 90.22 R 91.03 F1 90.62]   E [P 82.36 R 87.16 F1 84.69]   EC [P 75.68 R 80.09 F1 77.82]

60.train    L 0.073    acc [B 89.02 E 90.10 O 99.20 T 97.95]   B [P 92.80 R 94.06 F1 93.43]   E [P 87.27 R 91.68 F1 89.42]   EC [P 83.40 R 87.60 F1 85.45]
60.val      L 0.135    acc [B 82.06 E 81.94 O 98.96 T 96.66]   B [P 90.14 R 91.08 F1 90.61]   E [P 82.15 R 87.11 F1 84.56]   EC [P 75.38 R 79.94 F1 77.59]

61.train    L 0.073    acc [B 89.00 E 90.29 O 99.17 T 97.95]   B [P 92.89 R 93.98 F1 93.43]   E [P 87.40 R 91.65 F1 89.47]   EC [P 83.56 R 87.62 F1 85.55]
61.val      L 0.133    acc [B 82.17 E 82.23 O 98.92 T 96.66]   B [P 90.24 R 90.99 F1 90.61]   E [P 82.26 R 87.05 F1 84.59]   EC [P 75.60 R 80.00 F1 77.74]

62.train    L 0.073    acc [B 88.97 E 90.24 O 99.17 T 97.94]   B [P 92.86 R 94.00 F1 93.43]   E [P 87.38 R 91.73 F1 89.51]   EC [P 83.49 R 87.65 F1 85.52]
62.val      L 0.134    acc [B 82.13 E 82.16 O 98.93 T 96.65]   B [P 90.36 R 91.04 F1 90.70]   E [P 82.22 R 87.15 F1 84.61]   EC [P 75.53 R 80.07 F1 77.73]

63.train    L 0.073    acc [B 88.93 E 90.33 O 99.17 T 97.96]   B [P 92.90 R 93.96 F1 93.43]   E [P 87.47 R 91.78 F1 89.57]   EC [P 83.54 R 87.66 F1 85.55]
63.val      L 0.135    acc [B 81.86 E 82.05 O 98.93 T 96.64]   B [P 90.41 R 90.94 F1 90.67]   E [P 82.64 R 87.33 F1 84.92]   EC [P 75.67 R 79.97 F1 77.76]

64.train    L 0.072    acc [B 89.40 E 90.64 O 99.17 T 98.00]   B [P 92.80 R 94.25 F1 93.52]   E [P 87.46 R 91.95 F1 89.64]   EC [P 83.69 R 87.99 F1 85.78]
64.val      L 0.133    acc [B 82.19 E 82.23 O 98.92 T 96.65]   B [P 90.08 R 91.21 F1 90.64]   E [P 82.13 R 87.37 F1 84.67]   EC [P 75.26 R 80.07 F1 77.59]

