data folder: data/ready/pos/wsj/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 1

1.train    L 4.928     acc 92.92
62.train    L 1.550    acc 97.65
62.val      L 2.032    acc 97.07

63.train    L 1.542    acc 97.65
63.val      L 2.033    acc 97.05

64.train    L 1.534    acc 97.67
64.val      L 2.026    acc 97.07

65.train    L 1.527    acc 97.68
65.val      L 2.023    acc 97.07

66.train    L 1.533    acc 97.66
66.val      L 2.036    acc 97.05

67.train    L 1.521    acc 97.69
67.val      L 2.014    acc 97.09

68.train    L 1.516    acc 97.69
68.val      L 2.024    acc 97.08

69.train    L 1.512    acc 97.70
69.val      L 2.017    acc 97.03

70.train    L 1.506    acc 97.72
70.val      L 2.019    acc 97.06

71.train    L 1.508    acc 97.70
71.val      L 2.026    acc 97.08

72.train    L 1.503    acc 97.71
72.val      L 2.024    acc 97.08

73.train    L 1.496    acc 97.72
73.val      L 2.010    acc 97.10

74.train    L 1.494    acc 97.72
74.val      L 2.008    acc 97.09

75.train    L 1.488    acc 97.72
75.val      L 2.009    acc 97.06

76.train    L 1.482    acc 97.75
76.val      L 2.000    acc 97.11

77.train    L 1.482    acc 97.75
77.val      L 2.018    acc 97.09

78.train    L 1.480    acc 97.74
78.val      L 2.010    acc 97.10

79.train    L 1.475    acc 97.75
79.val      L 2.003    acc 97.08

80.train    L 1.470    acc 97.76
80.val      L 2.017    acc 97.10

81.train    L 1.469    acc 97.76
81.val      L 2.008    acc 97.10

82.train    L 1.461    acc 97.77
82.val      L 2.009    acc 97.08

83.train    L 1.454    acc 97.78
83.val      L 1.996    acc 97.14

84.train    L 1.452    acc 97.78
84.val      L 2.001    acc 97.11

85.train    L 1.450    acc 97.79
85.val      L 2.003    acc 97.09

86.train    L 1.450    acc 97.78
86.val      L 2.010    acc 97.11

87.train    L 1.445    acc 97.79
87.val      L 2.001    acc 97.11

88.train    L 1.441    acc 97.80
88.val      L 2.001    acc 97.10

89.train    L 1.438    acc 97.80
89.val      L 1.993    acc 97.11

90.train    L 1.434    acc 97.81
90.val      L 1.997    acc 97.13

91.train    L 1.435    acc 97.80
91.val      L 1.992    acc 97.13

92.train    L 1.429    acc 97.82
92.val      L 1.983    acc 97.13

93.train    L 1.425    acc 97.82
93.val      L 1.992    acc 97.11

94.train    L 1.424    acc 97.81
94.val      L 1.992    acc 97.12

95.train    L 1.421    acc 97.83
95.val      L 1.993    acc 97.13

96.train    L 1.418    acc 97.83
96.val      L 1.993    acc 97.13

97.train    L 1.417    acc 97.83
97.val      L 1.988    acc 97.15

98.train    L 1.409    acc 97.85
98.val      L 1.979    acc 97.14

99.train    L 1.409    acc 97.85
99.val      L 1.988    acc 97.13

100.train    L 1.408   acc 97.84
100.val      L 1.990   acc 97.13


Best epoch: 97
Best metric: 97.15

Confusion matrix:

[[   31     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0  1144     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0   991     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0   181     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0   181     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0  7086     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0  5468     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     3     0     0     0     0   636     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0  3364     0     6     0     0     0     0     0     0     0     0     1     0     0     2     0     0     0     0     6     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0  5204     0     0     0     0     9     0     0     0     0     3     0     0     7     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     4     0 11157     0     0    36     2     0     0     0     0     8     6     0     0     1     0     0     0     7     0     0     0     0     0     0     0     0     0     0     0     0     9     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0   117     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     4     2     0     0     0     0     0     8     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     3     0    12     0     1 13430     3     0     0     0     0     1     1     0     0     0     0     0     0   150     0     0    42     0     0     0     2     0     0     0     0     0     6     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     6  7406     3     1     0     0   227    79     0     5     4     0     1     1    55     0     0     0     0     0     0    15     8    77   204     2     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     7   402     0     0     0     5     2     0     0     0     0     0     0     0    29     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0   252     0     0     2     1     0     0     0     0     0     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1293     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0    14     3     0     0     8   391     2     0     0     3 17621   217     0    42     1     0    11     0    19     0     0     0     0     0     0    41     6   134     5    19     1     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     4     7     0     0     4    76     0     0     0     2    49 12845   150    24     0     0     2     0     5     0     0     1     0     0     0     0     0     7     4     1     2     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0   103   282    26     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0    11     0     0     0     0     3     0     0     0     0    26    24    17  7928     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0    33     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0    11     0     0     0     1     0     0     0     0     1     0     0     0    48     0     0     0     2     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0]
 [    0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1237     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0]
 [    0     0     1     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     2     0     0     0     0     1  2374     4     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1184     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     5     0    14     4     0    96    83     2     1     0     0    23     6     0     0     1     0     0     0  3839    42     0    53     0     0     0     2     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    56     0     0     0     0     0     0     0     0     0     0     0     5   168     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     9     0     0     0     0     0     0     0     0     0     0     0     0    42     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0    45     3     0     0     0     0     0     0     0     0     0     0     0     0    26     0     0   289     0     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  3074     0     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     5     0     0     0     0     4     0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     2     7     1     0     0     0    45     5     0     0     0     0     0     0     3     0     0     0     0     0     0  3383    13     0     6    38     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     2     2     0     0     0     0     0     0     0     0     0     0     0     0     0     4  4522     0    79     9     1     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     7     0     0     0     0    92     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1856     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0    50     0     0     0     0     9     1     0     0     0     0     0     0     0     0     0     0     0     0     0     2   145     0  2617     1     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     2     4     0     0     0     0    21     2     0     0     0     0     0     0     1     0     0     0     0     0     0    27     3     0     1  1425     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0    43     0     5     0     0     1     0     0     0     0     0     0     0     0     0     0     1  2764     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     2     0     0     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   536     2     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     4   315     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    16     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   270     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1022]]

Predicted sentence samples:

1. The_DT Arizona_NNP Corporations_NNPS|NNP Commission_NNP authorized_VBD an_DT 11.5_CD %_NN rate_NN increase_NN at_IN Tucson_NNP Electric_NNP Power_NNP Co._NNP ,_, substantially_RB lower_JJR than_IN recommended_VBN last_JJ month_NN by_IN a_DT commission_NN hearing_VBG|NN officer_NN and_CC barely_RB half_PDT the_DT rise_NN sought_VBN by_IN the_DT utility_NN ._.
2. The_DT ruling_NN follows_VBZ a_DT host_NN of_IN problems_NNS at_IN Tucson_NNP Electric_NNP ,_, including_VBG major_JJ write-downs_NNS ,_, a_DT 60_CD %_NN slash_NN in_IN the_DT common_JJ stock_NN dividend_NN and_CC the_DT departure_NN of_IN former_JJ Chairman_NNP Einar_NNP Greve_NNP during_IN a_DT company_NN investigation_NN of_IN his_PRP$ stock_NN sales_NNS ._.
3. The_DT Arizona_NNP regulatory_JJ ruling_NN calls_VBZ for_IN $_$ 42_CD million_CD in_IN added_VBN|JJ revenue_NN yearly_RB ,_, compared_VBN with_IN a_DT $_$ 57_CD million_CD boost_NN proposed_VBN by_IN the_DT commission_NN hearing_NN officer_NN ._.
4. The_DT company_NN had_VBD sought_VBN increases_NNS totaling_VBG $_$ 80.3_CD million_CD ,_, or_CC 22_CD %_NN ._.
5. The_DT decision_NN was_VBD announced_VBN after_IN trading_NN ended_VBD ._.
6. Tucson_NNP Electric_NNP closed_VBD at_IN $_$ 20.875_CD a_DT share_NN ,_, down_RB 25_CD cents_NNS ,_, in_IN New_NNP York_NNP Stock_NNP Exchange_NNP composite_JJ trading_NN ._.
7. A_DT Tucson_NNP Electric_NNP spokesman_NN said_VBD the_DT utility_NN was_VBD disappointed_VBN by_IN the_DT commission_NN 's_POS decision_NN and_CC ``_`` concerned_VBN|JJ about_IN the_DT financial_JJ integrity_NN of_IN the_DT company_NN ._.
8. South_JJ Korean_NNP|JJ President_NNP Roh_NNP Tae_NNP Woo_NNP ,_, brushing_VBG aside_JJ|RP suggestions_NNS that_IN the_DT won_NN be_VB revalued_VBN again_RB ,_, said_VBD the_DT currency_NN 's_POS current_JJ level_NN against_IN the_DT dollar_NN is_VBZ ``_`` appropriate_JJ ._. ''_''
9. His_PRP$ comments_NNS ,_, made_VBN in_IN response_NN to_TO reporters_NNS '_POS questions_NNS at_IN the_DT National_NNP Press_NNP Club_NNP here_RB ,_, signaled_VBD that_IN Seoul_NNP is_VBZ resisting_VBG U.S._NNP pressure_NN for_IN a_DT further_JJ|JJR rise_NN in_IN the_DT currency_NN 's_POS value_NN ._.
10. The_DT U.S._NNP wants_VBZ a_DT higher_JJR won_NN to_TO make_VB South_NNP Korea_NNP 's_POS exports_NNS more_RBR expensive_JJ and_CC help_VB trim_VB Seoul_NNP 's_POS trade_NN surplus_NN ._.
11. Many_JJ South_JJ Korean_JJ business_NN people_NNS want_VBP a_DT devaluation_NN instead_RB ,_, arguing_VBG that_IN the_DT won_NN|VBN 's_POS recent_JJ gains_NNS already_RB have_VBP weakened_VBN the_DT country_NN 's_POS export_NN performance_NN ._.
12. Mr._NNP Roh_NNP also_RB said_VBD South_NNP Korea_NNP is_VBZ taking_VBG steps_NNS that_WDT would_MD free_VB the_DT won_NN to_TO respond_VB to_TO market_NN forces_NNS ._.
13. Seoul_NNP has_VBZ pointed_VBN to_TO its_PRP$ lack_NN of_IN a_DT foreign_JJ exchange_NN market_NN as_IN one_CD reason_NN the_DT won_NN 's_POS value_NN remains_VBZ heavily_RB controlled_VBN ._.
14. Mr._NNP Roh_NNP said_VBD a_DT U.S._NNP demand_NN for_IN the_DT removal_NN of_IN South_JJ Korean_JJ import_NN quotas_NNS on_IN beef_NN will_MD be_VB resolved_VBN ``_`` satisfactorily_RB ''_'' but_CC gave_VBD no_DT hint_NN when_WRB that_DT will_MD happen_VB ._.
15. Speaking_VBG to_TO a_DT joint_JJ meeting_NN of_IN Congress_NNP earlier_RBR ,_, he_PRP said_VBD South_NNP Korea_NNP ca_MD n't_RB move_VB quickly_RB on_IN such_JJ agricultural_JJ trade_NN issues_NNS ``_`` without_IN causing_VBG political_JJ and_CC social_JJ trauma_NN ._.
16. Great_NNP American_NNP Bank_NNP said_VBD its_PRP$ board_NN approved_VBD the_DT formation_NN of_IN a_DT holding_VBG|NN company_NN enabling_VBG the_DT savings_NNS bank_NN to_TO pursue_VB nontraditional_JJ banking_NN activities_NNS under_IN a_DT new_JJ federal_JJ law_NN ._.
17. The_DT proposed_VBN|JJ holding_VBG|NN company_NN 's_POS primary_JJ purpose_NN would_MD be_VB to_TO allow_VB Great_NNP American_NNP to_TO continue_VB engaging_VBG|JJ in_IN real_JJ estate_NN development_NN activities_NNS ,_, it_PRP said_VBD ._.
18. Those_DT activities_NNS generated_VBD $_$ 26.1_CD million_CD in_IN operating_VBG|NN profit_NN last_JJ year_NN ._.
19. But_CC according_VBG to_TO Great_NNP American_NNP ,_, such_JJ profits_NNS do_VBP n't_RB count_VB toward_IN meeting_VBG the_DT San_NNP Diego_NNP savings_NNS bank_NN 's_POS new_JJ capitalization_NN requirements_NNS under_IN 1989_CD federal_JJ law_NN ._.
20. The_DT new_JJ real_JJ estate_NN unit_NN would_MD have_VB a_DT separate_JJ capital_NN structure_NN to_TO comply_VB with_IN the_DT law_NN ._.
21. The_DT proposed_VBN|JJ holding_VBG|NN company_NN would_MD also_RB consolidate_VB Great_NNP American_NNP Bank_NNP in_IN San_NNP Diego_NNP and_CC its_PRP$ Tucson_NNP ,_, Ariz._NNP ,_, savings_NNS bank_NN into_IN a_DT single_JJ ,_, federally_RB chartered_VBN|JJ institution_NN in_IN San_NNP Diego_NNP ._.
22. The_DT consolidation_NN is_VBZ expected_VBN to_TO save_VB $_$ 1_CD million_CD a_DT year_NN in_IN administrative_JJ costs_NNS ,_, a_DT Great_JJ|NNP American_JJ|NNP spokesman_NN said_VBD ._.
23. Dale_NNP Lang_NNP ,_, who_WP this_DT week_NN completed_VBD the_DT acquisition_NN of_IN the_DT publisher_NN of_IN Ms._NNP and_CC Sassy_NNP ,_, is_VBZ candid_JJ about_IN the_DT challenge_NN he_PRP is_VBZ taking_VBG on_RP ._.
24. Mr._NNP Lang_NNP admits_VBZ that_IN|DT Ms._NNP is_VBZ ``_`` in_IN dire_JJ straits_NNS ''_'' and_CC that_IN Sassy_NNP needs_VBZ big_JJ promotional_JJ dollars_NNS to_TO keep_VB it_PRP alive_JJ ._.
25. But_CC the_DT 57-year-old_JJ publisher_NN has_VBZ moved_VBN quickly_RB and_CC boldly_RB to_TO deal_VB with_IN the_DT magazines_NNS '_POS problems_NNS ._.
26. Last_JJ Friday_NNP ,_, he_PRP told_VBD the_DT staff_NN of_IN Ms._NNP that_IN the_DT magazine_NN in_IN January_NNP would_MD begin_VB publishing_VBG without_IN advertising_NN ._.
27. Mr._NNP Lang_NNP will_MD do_VB away_RB|RP with_IN expensive_JJ circulation_NN drives_NNS|VBZ ,_, not_RB to_TO mention_NN|VB sales_NNS staff_NN ,_, and_CC attempt_VB to_TO publish_VB the_DT 17-year-old_JJ magazine_NN supported_VBN by_IN circulation_NN revenue_NN alone_RB ._.
28. ``_`` Any_DT fool_NN can_MD publish_VB a_DT money-losing_JJ magazine_NN ._.
29. I_PRP want_VBP to_TO publish_VB one_CD|NN that_WDT succeeds_VBZ ,_, ''_'' said_VBD Mr._NNP Lang_NNP ._.
30. ``_`` For_IN Ms._NNP ,_, it_PRP 's_VBZ time_NN to_TO publish_VB for_IN the_DT reader_NN ,_, not_RB the_DT advertiser_NN ._. ''_''
31. As_IN for_IN Sassy_NNP ,_, which_WDT competes_VBZ directly_RB with_IN News_NNP Corp._NNP 's_POS Seventeen_JJ|NNP magazine_NN ,_, Mr._NNP Lang_NNP says_VBZ that_IN in_IN the_DT next_JJ two_CD years_NNS he_PRP will_MD spend_VB $_$ 6_CD million_CD promoting_VBG and_CC improving_VBG the_DT magazine_NN ._.
32. Though_IN|NNP Sassy_NNP has_VBZ grown_VBN quickly_RB since_IN its_PRP$ debut_NN in_IN March_NNP 1988_CD ,_, it_PRP has_VBZ been_VBN the_DT target_NN of_IN conservative_JJ lobbyists_NNS and_CC skittish_JJ advertisers_NNS who_WP bristled_VBD at_IN its_PRP$ frank_JJ editorial_NN|JJ matter_NN on_IN teen-age_JJ problems_NNS ._.
33. Mr._NNP Lang_NNP said_VBD the_DT former_JJ Australian_JJ owners_NNS of_IN Sassy_NNP were_VBD ``_`` blind-sided_JJ by_IN the_DT Moral_NNP Majority_NNP ..._: ._.
34. Their_PRP$ reaction_NN was_VBD to_TO do_VB nothing_NN and_CC ride_VB it_PRP out_RP ._. ''_''
35. He_PRP said_VBD Sassy_NNP will_MD keep_VB its_PRP$ irreverent_JJ tone_NN ,_, but_CC added_VBD ,_, ``_`` We_PRP will_MD keep_VB a_DT close_JJ watch_NN on_IN the_DT editorial_JJ content_NN of_IN the_DT magazine_NN ._. ''_''
36. Sassy_NNP already_RB has_VBZ recovered_VBN ;_: circulation_NN has_VBZ quickly_RB passed_VBN the_DT 500,000_CD mark_NN and_CC advertising_NN pages_NNS have_VBP stabilized_VBN this_DT year_NN at_IN more_JJR than_IN 300_CD ._.
37. What_WP 's_VBZ more_JJR ,_, Mr._NNP Lang_NNP says_VBZ he_PRP has_VBZ what_WP all_DT publishers_NNS wish_VBP for_IN :_: a_DT bona_NN|JJ fide_NN|JJ niche_NN ._.
38. ``_`` Seventeen_NNP is_VBZ written_VBN more_RBR for_IN mothers_NNS ,_, not_RB their_PRP$ daughters_NNS ,_, ''_'' said_VBD Mr._NNP Lang_NNP ._.
39. ``_`` But_CC Sassy_NNP has_VBZ a_DT different_JJ spirit_NN ._.
40. It_PRP gets_VBZ more_JJR mail_NN in_IN a_DT month_NN than_IN McCall_NNP 's_POS got_VBD in_IN a_DT year_NN ,_, and_CC it_PRP 's_VBZ not_RB from_IN mothers_NNS ._.
41. I_PRP feel_VBP about_IN Sassy_NNP like_IN I_PRP did_VBD about_IN Working_NNP Woman_NNP 10_CD years_NNS ago_RB ._. ''_''
42. Mr._NNP Lang_NNP took_VBD on_IN|RP Ms._NNP and_CC Sassy_NNP with_IN the_DT acquisition_NN of_IN Matilda_NNP Publications_NNPS|NNP Inc._NNP by_IN his_PRP$ newly_RB formed_VBN Lang_NNP Communications_NNPS|NNP ._.
43. Lang_NNP owns_VBZ 70_CD %_NN of_IN Matilda_NNP ,_, while_IN Citicorp_NNP owns_VBZ the_DT rest_NN through_IN its_PRP$ Citicorp_NNP Venture_NNP Capital_NNP Partners_NNPS|NNP ._.
44. Two_CD weeks_NNS ago_RB ,_, Citicorp_NNP and_CC Mr._NNP Lang_NNP pumped_VBD $_$ 800,000_CD into_IN Matilda_NNP just_RB to_TO keep_VB the_DT doors_NNS open_JJ ._.
45. Industry_NN observers_NNS have_VBP congratulated_VBN Mr._NNP Lang_NNP on_IN what_WP some_DT call_VBP|VB his_PRP$ ``_`` courageous_JJ ''_'' handling_NN of_IN Ms._NNP ,_, but_CC his_PRP$ track_NN record_NN in_IN magazine_NN publishing_NN in_IN general_JJ has_VBZ gotten_VBN mixed_JJ reviews_NNS ._.
46. Besides_IN Ms._NNP and_CC Sassy_NNP ,_, closely_RB held_VBN Lang_NNP Communications_NNPS|NNP includes_VBZ Success_NNP ,_, a_DT magazine_NN for_IN entrepreneurs_NNS and_CC small_JJ businesses_NNS ,_, and_CC Working_NNP Woman_NNP and_CC Working_NNP Mother_NNP ,_, two_CD monthly_JJ magazines_NNS ._.
